parentSku ; SKU ; ColorName ; InternetName ;  InternetTxt ;  Q1 ;  + Q2 ; Q3 ; Q4 ; Q5 ; Q6 ; P1 ; P2 ; P3 ; P4 ; P5 ; P6 ; GrossNett ; ImprintType_IL1_T1 ; ImprintDescription_IL1_T1 ; ImprintImage_IL1_T1 ; PriceClass_IL1_T1 ; PriceClass_IL1_CN ; SetupFee_IL1_T1 ; SetupFee_IL1_T1_NextColor ; SetupFeeStructure_IL1_T1 ; ExcludeFreeSetupCosts_IL1_T1 ; ImprintSize_IL1_T1 ; MaxColors_IL1_T1 ; Handling_IL1_T1 ; ImprintType_IL1_T2 ; ImprintDescription_IL1_T2 ; ImprintImage_IL1_T2 ; PriceClass_IL1_T2 ; PriceClass_IL1_CN2 ; SetupFee_IL1_T2 ; SetupFee_IL1_T2_NextColor ; SetupFeeStructure_IL1_T2 ; ExcludeFreeSetupCosts_IL1_T2 ; ImprintSize_IL1_T2 ; MaxColors_IL1_T2 ; Handling_IL1_T2 ; ImprintType_IL1_T3 ; ImprintDescription_IL1_T3 ; ImprintImage_IL1_T3 ; PriceClass_IL1_T3 ; PriceClass_IL1_CN3 ; SetupFee_IL1_T3 ; SetupFee_IL1_T3_NextColor ; SetupFeeStructure_IL1_T3 ; ExcludeFreeSetupCosts_IL1_T3 ; ImprintSize_IL1_T3 ; MaxColors_IL1_T3 ; Handling_IL1_T3 ; ImprintType_IL1_T4 ; ImprintDescription_IL1_T4 ; ImprintImage_IL1_T4 ; PriceClass_IL1_T4 ; PriceClass_IL1_CN4 ; SetupFee_IL1_T4 ; SetupFee_IL1_T4_NextColor ; SetupFeeStructure_IL1_T4 ; ExcludeFreeSetupCosts_IL1_T4 ; ImprintSize_IL1_T4 ; MaxColors_IL1_T4 ; Handling_IL1_T4 ; ImprintType_IL1_T5 ; ImprintDescription_IL1_T5 ; ImprintImage_IL1_T5 ; PriceClass_IL1_T5 ; PriceClass_IL1_CN5 ; SetupFee_IL1_T5 ; SetupFee_IL1_T5_NextColor ; SetupFeeStructure_IL1_T5 ; ExcludeFreeSetupCosts_IL1_T5 ; ImprintSize_IL1_T5 ; MaxColors_IL1_T5 ; Handling_IL1_T5 ; ImprintType_IL1_T6 ; ImprintDescription_IL1_T6 ; ImprintImage_IL1_T6 ; PriceClass_IL1_T6 ; PriceClass_IL1_CN6 ; SetupFee_IL1_T6 ; SetupFee_IL1_T6_NextColor ; SetupFeeStructure_IL1_T6 ; ExcludeFreeSetupCosts_IL1_T6 ; ImprintSize_IL1_T6 ; MaxColors_IL1_T6 ; Handling_IL1_T6 ; IntraCode ; CountryOfOrigin ; OuterCartonPieces ; OuterCartonLength ; OuterCartonWidth ; OuterCartonLength ; CommercialItemLength ; CommercialItemWidth ; CommercialItemHeight ; CommercialItemWeight ; Flavours ; Sizes ; WritingColor ; CapacityTxt ; OrderUnit ; MainGroup ; Material ; BatteryType ; NumberOfBatteries ; ProductImageURL ; DeliveryTimeMT_IL1_T1 ; SearchTerms ; Q_OnPallet ; Brandnames
MNAR1249;AR1249-16;matt silver;TARGET Kompassi;Alumiininen kompassi, pakattuna tinarasiaan.10,5X8X2 CM;50;100;250;500;2500;5000;44,21;40,19;37,53;34,96;33,32;31,73;;TOP COMPASS;Laser engraving;;L3;;23,4;;;;5x25 cm;0;;TOP BOX;Digital label;;DL;;38,02;;;;40x60 cm;8;;TOP BOX;Laser engraving;;L3;;23,4;;;;40x60 cm;0;;TOP BOX;Pad printing;;P5;;38,02;;;;40x60 cm;1;;LASER COMPASS;Laser engraving;;L3;;23,4;;;;55x55 cm;0;;PD BOX;Digital printing;;PD3;;45,82;;;;82x105 cm;0;;;;;;;;;;;;;;;;;;;;https://www.b2bpromotion.dk/content/images/productImages/ar1249-16-print.jpg, https://www.b2bpromotion.dk/content/images/productImages/ar1249-16-box.jpg, https://www.b2bpromotion.dk/content/images/productImages/ar1249-16.jpg, ;;;;
MNAR1253;AR1253-16;matt silver;BASICS Laskin;Aurinkoenergialla toimiva 12-numeroinen laskin muovipinnalla. Sis‰lt‰en yhden LR1130 pariston.15,5X10X3 CM;50;100;250;500;2500;5000;40,46;36,78;34,36;32,00;30,50;29,04;;BELOW BUTTONS;Pad printing;;P3;;38,02;;;;9x65 cm;4;;RIGHT OF SOLAR CEL;Pad printing;;P3;;38,02;;;;8x25 cm;2;;LEFT OF SOLAR CEL;Pad printing;;P3;;38,02;;;;8x25 cm;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;https://www.b2bpromotion.dk/content/images/productImages/ar1253-16.jpg, https://www.b2bpromotion.dk/content/images/productImages/ar1253-16-print.jpg, ;;;;
MNAR1470;AR1470-01;brown;HIGH PARK Picnic -reppu;Picnic -reppu nelj‰lle henkilˆlle. Sis‰lt‰‰ viltin, pullon pidikkeen ja laadukkaat astiat. Materiaali 600D polyesteri.27X22X40 CM;25;50;100;250;2500;5000;500,96;455,47;425,31;396,18;377,65;359,58;;FRONT POCKET;Screen printing;;S5;;38,02;;;;120x140 cm;1;;FRONT TRANSFER;Screen transfer;;T1;;38,02;;;;140x140 cm;8;;FRONT TRANSFER;Digital transfer;;TD1;;53,24;;;;140x140 cm;8;;TOP;Screen transfer;;T1;;38,02;;;;100x190 cm;8;;TOP;Digital transfer;;TD1;;53,24;;;;100x190 cm;8;;;;;;;;;;;;;;;;;;;;;;;;;;;;Fritid & Udeliv;;;;https://www.b2bpromotion.dk/content/images/productImages/ar1470-01b.jpg, https://www.b2bpromotion.dk/content/images/productImages/ar1470-01-ambiant.jpg, https://www.b2bpromotion.dk/content/images/productImages/ar1470-01.jpg, https://www.b2bpromotion.dk/content/images/productImages/ar1470-01a.jpg, https://www.b2bpromotion.dk/content/images/productImages/ar1470-01c.jpg, ;;;;
MNAR1589;AR1589-03;black;COLUMBUS Avaimneper‰;Tyylik‰s avaimenper‰, joka on yhdistelm‰ metallia ja nahkaa.9X3,1X0,6 CM;125;250;500;1000;2500;5000;17,03;15,48;14,46;13,47;12,85;12,24;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;N¯gleringe & N¯glesnore;;;;https://www.b2bpromotion.dk/content/images/productImages/ar1589-03.jpg, https://www.b2bpromotion.dk/content/images/productImages/ar1589-03-ambiant.jpg, https://www.b2bpromotion.dk/content/images/productImages/ar1589-03-print.jpg, ;;;;
MNAR1800;AR1800-05;red;NOTELUX A6 muistikirja;A6 muistikirja,  sis‰lt‰‰ 96 tyhj‰‰ sivua ja v‰rikk‰‰n kumilenkin kiinnitykseen. Kannet PU-materiaalia.14X9X1,5 CM;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Muistikirjat & Muistivihkot;;;;https://www.b2bpromotion.dk/content/images/productImages/ar1800-05.jpg, https://www.b2bpromotion.dk/content/images/productImages/ar1800-05-print.jpg, https://www.b2bpromotion.dk/content/images/productImages/ar1800-05-ambiant.jpg, ;;;;
MNAR1800;AR1800-10;orange;NOTELUX A6 muistikirja;A6 muistikirja,  sis‰lt‰‰ 96 tyhj‰‰ sivua ja v‰rikk‰‰n kumilenkin kiinnitykseen. Kannet PU-materiaalia.14X9X1,5 CM;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Muistikirjat & Muistivihkot;;;;https://www.b2bpromotion.dk/content/images/productImages/ar1800-10.jpg, ;;;;
MNAR1800;AR1800-12;turquoise;NOTELUX A6 muistikirja;A6 muistikirja,  sis‰lt‰‰ 96 tyhj‰‰ sivua ja v‰rikk‰‰n kumilenkin kiinnitykseen. Kannet PU-materiaalia.14X9X1,5 CM;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Muistikirjat & Muistivihkot;;;;https://www.b2bpromotion.dk/content/images/productImages/ar1800-12.jpg, ;;;;
MNAR1800;AR1800-48;lime;NOTELUX A6 muistikirja;A6 muistikirja,  sis‰lt‰‰ 96 tyhj‰‰ sivua ja v‰rikk‰‰n kumilenkin kiinnitykseen. Kannet PU-materiaalia.14X9X1,5 CM;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Muistikirjat & Muistivihkot;;;;https://www.b2bpromotion.dk/content/images/productImages/ar1800-48.jpg, https://www.b2bpromotion.dk/content/images/productImages/ar1800-48-print.jpg, https://www.b2bpromotion.dk/content/images/productImages/ar1800-48-ambiant.jpg, ;;;;
MNAR1804;AR1804-03;black;ARCONOT A5 muistikirja;A5 muistikirja,  sis‰lt‰‰ 96 tyhj‰‰ sivua ja v‰rikk‰‰n kumilenkin kiinnitykseen. Kannet PU-materiaalia.21X14X1,6 CM;125;250;500;1000;2500;5000;14,84;13,50;12,60;11,74;11,19;10,67;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Muistikirjat & Muistivihkot;;;;https://www.b2bpromotion.dk/content/images/productImages/ar1804-03.jpg, https://www.b2bpromotion.dk/content/images/productImages/ar1804-03a.jpg, https://www.b2bpromotion.dk/content/images/productImages/ar1804-03-print.jpg, ;;;;
MNAR1804;AR1804-04;blue;ARCONOT A5 muistikirja;A5 muistikirja,  sis‰lt‰‰ 96 tyhj‰‰ sivua ja v‰rikk‰‰n kumilenkin kiinnitykseen. Kannet PU-materiaalia.21X14X1,6 CM;125;250;500;1000;2500;5000;14,84;13,50;12,60;11,74;11,19;10,67;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Muistikirjat & Muistivihkot;;;;https://www.b2bpromotion.dk/content/images/productImages/ar1804-04.jpg, https://www.b2bpromotion.dk/content/images/productImages/ar1804-04-print.jpg, ;;;;
