Parrent Sku;SKU;Name;Long description;Staggers;Q1;Q2;Q3;Q4;Q5;Q6;P1;P2;P3;P4;P5;P6;
MNCX1413;CX1413-05;red;BOSSA SMALL ;16X10X23 CM;500;1000;2500;125;250;500;3,16;3,16;3,16;3,40;3,28;3,16
MNCX1414;CX1414-05;red;BOSSA MEDIUM ;22X11X30 CM;500;1000;2500;125;250;500;4,54;4,54;4,54;4,89;4,72;4,54
MNCX1415;CX1415-05;red;BOSSA LARGE ;26X11X36 CM;500;1000;2500;125;250;500;5,27;5,27;5,27;5,68;5,48;5,27
MNCX1433;CX1433-03;black;SLATETREE ;10X8.5X0.4CM;500;1000;2500;125;250;500;4,63;4,63;4,63;4,98;4,81;4,63
MNCX1434;CX1434-03;black;SLATESTAR ;9.5X9.5X0.4CM;500;1000;2500;125;250;500;4,63;4,63;4,63;4,98;4,81;4,63
MNCX1435;CX1435-16;matt silver;STARFILTER ;5X6X1CM;500;1000;2500;125;250;500;8,28;8,28;8,28;8,92;8,60;8,28
MNCX1437;CX1437-99;multicolour;SNOWY ;7X7X6,5 CM;500;1000;2500;125;250;500;8,43;8,43;8,43;9,08;8,76;8,43
MNCX1443;CX1443-99;multicolour;UNIQUE ;21X15X9,5 CM;;;;;;;;;;;;
MNCX1446;CX1446-05;red;BOUGIE ;6X4CM;500;1000;2500;125;250;500;11,52;11,52;11,52;12,41;11,97;11,52
MNCX1446;CX1446-06;white;BOUGIE ;6X4CM;500;1000;2500;125;250;500;11,52;11,52;11,52;12,41;11,97;11,52
MNCX1449;CX1449-05;red;JINGLE BALL ;Ø7 CM;;;;;;;;;;;;
MNCX1451;CX1451-07;grey;SONDRIO TEA ;19,5X16,5X12,5 CM;25;50;125;25;50;100;60,76;60,76;60,76;65,43;63,09;60,76
MNCX1454;CX1454-05;red;LIA BALL ;Ø7,5X1,5 CM;500;1000;2500;125;250;500;3,16;3,16;3,16;3,40;3,28;3,16
MNCX1454;CX1454-14;silver;LIA BALL ;Ø7,5X1,5 CM;500;1000;2500;125;250;500;3,16;3,16;3,16;3,40;3,28;3,16
MNCX1454;CX1454-37;royal blue;LIA BALL ;Ø7,5X1,5 CM;500;1000;2500;125;250;500;3,16;3,16;3,16;3,40;3,28;3,16
MNCX1454;CX1454-98;gold;LIA BALL ;Ø7,5X1,5 CM;500;1000;2500;125;250;500;3,16;3,16;3,16;3,40;3,28;3,16
MNCX1458;CX1458-14;silver;ANTIQUE 2 stk starinlys med lys;2 styk sølvfarvede starinlys med tilhørende glas lysestager. Pakket i transparent boks med label til printing18X5X2CM;;;;;;;;;;;;
MNCX1462;CX1462-40;wood;MILKY WAY lyskæde med 20 lys;Lyskæde med 20 LED lys formet som hjerter. Pakket I karton boks. Ekskluderer 2 AA betterier. On/off knap I barrei boks.15X8.2X2.3CM;;;;;;;;;;;;
MNCX1463;CX1463-40;wood;PONIA MDF hus med lys;MDF dekoreret hus med indbygget lys og juledekorationer samt en snor så den kan hænge. Inkluderer 3 AF10 batterier5.5X5.2X8 CM;500;1000;2500;125;250;500;8,35;8,35;8,35;8,99;8,67;8,35
MNCX1466;CX1466-05;red;HAPPY BALL Julekugle til sublim;Juletræskugle I shiny PP til sublimering. Diameter 6 cmØ6 CM;500;1000;2500;125;250;500;9,09;9,09;9,09;9,79;9,44;9,09
MNCX1466;CX1466-14;silver;HAPPY BALL Julekugle til sublim;Juletræskugle I shiny PP til sublimering. Diameter 6 cmØ6 CM;500;1000;2500;125;250;500;9,09;9,09;9,09;9,79;9,44;9,09
MNCX1466;CX1466-98;gold;HAPPY BALL Julekugle til sublim;Juletræskugle I shiny PP til sublimering. Diameter 6 cmØ6 CM;500;1000;2500;125;250;500;9,09;9,09;9,09;9,79;9,44;9,09
MNCX1469;CX1469-05;red;RUDOLPH Rensdyrsbamse med hoodi;Blød bamse formet som rensdyr med aftagelig hoodie15.5 X 12CM;500;1000;2500;125;250;500;13,79;13,79;13,79;14,85;14,32;13,79
MNCX1469;CX1469-06;white;RUDOLPH Rensdyrsbamse med hoodi;Blød bamse formet som rensdyr med aftagelig hoodie15.5 X 12CM;500;1000;2500;125;250;500;13,79;13,79;13,79;14,85;14,32;13,79
MNCX1470;CX1470-05;red;BAUBLEBAM Læbepomade i julekugl;Naturlig læbebalsam i julekugleform i UV-metallisk finish. Vaniljesmag.Dermatologisk testet. SPF10.3.4X3.4X3.6 CM;500;1000;2500;125;250;500;4,14;4,14;4,14;4,46;4,30;4,14
MNCX1472;CX1472-14;silver;BUNO Cirkels dekoration med bån;Rund cirkelformet dekorativt ornament i rustfrit stål med bånd i gavekonvolut. Foldes let fladt til mailing og opbevaring.8,9XØ8X0,05CM;500;1000;2500;125;250;500;9,16;9,16;9,16;9,87;9,51;9,16
MNCX1473;CX1473-40;wood;BALY Træ MDF cirkelformet ornam;Cirkelformet dekorationsornament med jutesnor. MDF er lavet af naturlige materialer, der kan være små variationer i farve og størrelse pr. Vare, hvilket kan påvirke det endelige udsmykningsresultat.8,9XØ6,9X0,2CM;500;1000;2500;125;250;500;1,30;1,30;1,30;1,40;1,35;1,30
MNCX1474;CX1474-40;wood;NEUY Træ snefnugformet ornament;Snefnugformet dekorationsornament med jutesnor. Er lavet af naturligematerialer, der kan være små variationer i farve og størrelse pr. Vare,hvilket kan påvirke det endelige udsmykningsresultat.7,9X7X0,2CM;500;1000;2500;125;250;500;1,30;1,30;1,30;1,40;1,35;1,30
MNCX1475;CX1475-40;wood;ARBY Træ træformet ornament;Træformet dekorationsornament med jutesnor. Er lavet af naturligematerialer, der kan være små variationer i farve og størrelse pr. Vare,hvilket kan påvirke det endelige udsmykningsresultat.7,9X6,3X0,2CM;500;1000;2500;125;250;500;1,30;1,30;1,30;1,40;1,35;1,30
MNCX1476;CX1476-40;wood;ESTY Træ  stjerneformet ornamen;Stjerneformet dekorationsornament med jutesnor. MDF er lavet af naturlige materialer, der kan være små variationer i farve og størrelse pr. Vare, hvilket kan påvirke det endelige udsmykningsresultat.7,9X6X0,2CM;500;1000;2500;125;250;500;1,30;1,30;1,30;1,40;1,35;1,30
MNCX1477;CX1477-40;wood;TREECHESSE Osteskærebræt sæt i ;Træformet bambus osteskærebræt sæt med kniv i rustfrit stål. Bambus er et naturligt produkt, der kan være små variationer i farve og størrelse pr. Vare, hvilket kan påvirke det endelige udsmykningsresultat.25X22.5X1CM;25;50;125;25;50;100;51,75;51,75;51,75;55,73;53,74;51,75
MNCX1478;CX1478-40;wood;BOXMAS Wooden Christmas music b;Wooden Christmas hand wind music box. Song We wish you a Merry Christmas. No batteries required.8,5X5X4,5CM;;;;;;;;;;;;
MNCX1479;CX1479-05;red;TREESGUARD RPET felt cutlery ho;Set of 4 RPET felt cutlery holders in Christmas tree shape presented in kraft box.16X2X21CM;500;1000;2500;125;250;500;6,66;6,66;6,66;7,17;6,91;6,66
MNCX1479;CX1479-07;grey;TREESGUARD RPET felt cutlery ho;Set of 4 RPET felt cutlery holders in Christmas tree shape presented in kraft box.16X2X21CM;500;1000;2500;125;250;500;6,66;6,66;6,66;7,17;6,91;6,66
MNCX1479;CX1479-09;green;TREESGUARD RPET felt cutlery ho;Set of 4 RPET felt cutlery holders in Christmas tree shape presented in kraft box.16X2X21CM;;;;;;;;;;;;
MNCX1480;CX1480-05;red;STARGUARD RPET 4 felt coaster s;Set of 4 RPET felt coasters in star shape presented in kraft box.11X2X11CM;500;1000;2500;125;250;500;3,89;3,89;3,89;4,19;4,04;3,89
MNCX1480;CX1480-07;grey;STARGUARD RPET 4 felt coaster s;Set of 4 RPET felt coasters in star shape presented in kraft box.11X2X11CM;500;1000;2500;125;250;500;3,89;3,89;3,89;4,19;4,04;3,89
MNCX1480;CX1480-09;green;STARGUARD RPET 4 felt coaster s;Set of 4 RPET felt coasters in star shape presented in kraft box.11X2X11CM;500;1000;2500;125;250;500;3,89;3,89;3,89;4,19;4,04;3,89
MNCX1481;CX1481-40;wood;LOTUS Candle on star wooden bas;Star shaped wooden decorative base with vanilla fragranced candle.10X9.5X6,8CM;500;1000;2500;125;250;500;11,76;11,76;11,76;12,67;12,21;11,76
MNCX1482;CX1482-05;red;DWARF Felt Christmas dwarf;Felt Christmas decorative dwarf with cotton filling.20,5X10X30,5CM;25;50;125;25;50;100;27,99;27,99;27,99;30,14;29,06;27,99
MNCX1483;CX1483-16;matt silver;CUQUI SET Cookie cutter ornamen;Set of 3 cookie cutters in stainless steel with jute Cord. Each can be also used as tree ornament.10X6,7X2,3CM;500;1000;2500;125;250;500;11,76;11,76;11,76;12,67;12,21;11,76
MNCX1484;CX1484-07;grey;FINTREE Felt tree decoration;Felt tree shaped decoration with wooden base.6,7X6,4X20,1CM;;;;;;;;;;;;
MNCX1484;CX1484-09;green;FINTREE Felt tree decoration;Felt tree shaped decoration with wooden base.6,7X6,4X20,1CM;;;;;;;;;;;;
MNG22CZ0;G22CZ0-00;mixed; ;24,50 X 21 X 2,10 CM;;;;;;;;;;;;
MNG22EN0;G22EN0-00;mixed; ;24,50 X 21 X 2,10 CM;;;;;;;;;;;;
MNG22EN1;G22EN1-00;mixed; ST GIFTS22 cat English w/ SEK,;ST GIFTS22 cat English w/ SEK, EURO, DKK24,50 X 21 X 2,10 CM;;;;;;;;;;;;
MNG22EN2;G22EN2-00;mixed; ;24,50 X 21 X 2,10 CM;;;;;;;;;;;;
MNG22EN3;G22EN3-00;mixed; ST GIFTS22 cat English NOK;;;;;;;;;;;;;
MNG22FR1;G22FR1-00;mixed; ;24,50 X 21 X 2,10 CM;;;;;;;;;;;;
MNG22GE1;G22GE1-00;mixed; ;24,50 X 21 X 2,10 CM;;;;;;;;;;;;
MNG22GE2;G22GE2-00;mixed; ;24,50 X 21 X 2,10 CM;;;;;;;;;;;;
MNG22HU1;G22HU1-00;mixed; ;24,50 X 21 X 2,10 CM;;;;;;;;;;;;
MNG22IT0;G22IT0-00;mixed; ;24,50 X 21 X 2,10 CM;;;;;;;;;;;;
MNG22IT1;G22IT1-00;mixed; ;24,50 X 21 X 2,10 CM;;;;;;;;;;;;
MNG22NL1;G22NL1-00;mixed; ;24,50 X 21 X 2,10 CM;;;;;;;;;;;;
MNG22PL1;G22PL1-00;mixed; ;24,50 X 21 X 2,10 CM;;;;;;;;;;;;
MNG22PT1;G22PT1-00;mixed; ;24,50 X 21 X 2,10 CM;;;;;;;;;;;;
MNG22RO0;G22RO0-00;mixed; ;24,50 X 21 X 2,10 CM;;;;;;;;;;;;
MNG22RU0;G22RU0-00;mixed; ;24,50 X 21 X 2,10 CM;;;;;;;;;;;;
MNG22SP1;G22SP1-00;mixed; ;24,50 X 21 X 2,10 CM;;;;;;;;;;;;
MNIT0971;IT0971-03;black;REGAL Regnfrakke i pose;Sammenfoldelig plast regnjakke med vedhæftet hætte i pose.100X130 CM;50;100;250;500;2500;5000;20,71;19,97;19,23;18,49;18,21;17,94
MNIT0971;IT0971-04;blue;REGAL Regnfrakke i pose;Sammenfoldelig plast regnjakke med vedhæftet hætte i pose.100X130 CM;50;100;250;500;2500;5000;20,71;19,97;19,23;18,49;18,21;17,94
MNIT0971;IT0971-05;red;REGAL Regnfrakke i pose;Sammenfoldelig plast regnjakke med vedhæftet hætte i pose.100X130 CM;50;100;250;500;2500;5000;20,71;19,97;19,23;18,49;18,21;17,94
MNIT0971;IT0971-06;white;REGAL Regnfrakke i pose;Sammenfoldelig plast regnjakke med vedhæftet hætte i pose.100X130 CM;50;100;250;500;2500;5000;20,71;19,97;19,23;18,49;18,21;17,94
MNIT0971;IT0971-08;yellow;REGAL Regnfrakke i pose;Sammenfoldelig plast regnjakke med vedhæftet hætte i pose.100X130 CM;50;100;250;500;2500;5000;20,71;19,97;19,23;18,49;18,21;17,94
MNIT0972;IT0972-04;blue;SPRINKLE Engangs Regn Poncho;Sammenfoldelig plastponcho med vedhæftet hætte, pakket i en gennemsigtig pose.127X100 CM;125;250;500;1000;2500;5000;3,06;2,95;2,84;2,73;2,69;2,65
MNIT0972;IT0972-05;red;SPRINKLE Engangs Regn Poncho;Sammenfoldelig plastponcho med vedhæftet hætte, pakket i en gennemsigtig pose.127X100 CM;125;250;500;1000;2500;5000;3,06;2,95;2,84;2,73;2,69;2,65
MNIT0972;IT0972-08;yellow;SPRINKLE Engangs Regn Poncho;Sammenfoldelig plastponcho med vedhæftet hætte, pakket i en gennemsigtig pose.127X100 CM;125;250;500;1000;2500;5000;3,06;2,95;2,84;2,73;2,69;2,65
MNIT0972;IT0972-22;transparent;SPRINKLE Engangs Regn Poncho;Sammenfoldelig plastponcho med vedhæftet hætte, pakket i en gennemsigtig pose.127X100 CM;125;250;500;1000;2500;5000;3,06;2,95;2,84;2,73;2,69;2,65
MNIT1047;IT1047-01;brown;ARCOLOR Farveblyant sæt 12 stk.;Sæt med 12 farve blyanter i naturfarvet kartonæske.9X9X0,8 CM;125;250;500;1000;2500;5000;2,00;1,93;1,86;1,79;1,76;1,73
MNIT1329;IT1329-22;transparent;MAGIC Farveblyanter 6 styk;Sæt med 6 farveblyanter i klar penneformet beholder.10X2X1,5 CM;125;250;500;1000;2500;5000;1,75;1,68;1,62;1,56;1,54;1,52
MNIT1332;IT1332-04;blue;DESCANSO Anti-stress bold;Anti-stress bold. PU materiale.Ø6 CM;125;250;500;1000;2500;5000;3,93;3,79;3,65;3,51;3,46;3,41
MNIT1332;IT1332-05;red;DESCANSO Anti-stress bold;Anti-stress bold. PU materiale.Ø6 CM;125;250;500;1000;2500;5000;3,93;3,79;3,65;3,51;3,46;3,41
MNIT1332;IT1332-06;white;DESCANSO Anti-stress bold;Anti-stress bold. PU materiale.Ø6 CM;125;250;500;1000;2500;5000;3,93;3,79;3,65;3,51;3,46;3,41
