------------PRINTCODE :P2--------------
#_0:;MNP2;Quantity: ;1price:;3,30;Next price: ;2,33;
#_1:;MNP2;Quantity: ;50price:;2,73;Next price: ;1,93;
#_2:;MNP2;Quantity: ;100price:;1,84;Next price: ;1,29;
#_3:;MNP2;Quantity: ;250price:;1,44;Next price: ;0,97;
#_4:;MNP2;Quantity: ;500price:;1,06;Next price: ;0,74;
#_5:;MNP2;Quantity: ;1.000price:;0,90;Next price: ;0,65;
#_6:;MNP2;Quantity: ;2.500price:;0,82;Next price: ;0,58;
#_7:;MNP2;Quantity: ;5.000price:;0,74;Next price: ;0,49;
#_8:;MNP2;Quantity: ;10.000price:;0,65;Next price: ;0,41;
#_9:;MNP2;Quantity: ;20.000price:;0,65;Next price: ;0,41;
---------------------END------------------------;
:
------------PRINTCODE :P3--------------
#_0:;MNP3;Quantity: ;1price:;4,10;Next price: ;2,81;
#_1:;MNP3;Quantity: ;50price:;3,45;Next price: ;2,41;
#_2:;MNP3;Quantity: ;100price:;2,41;Next price: ;1,69;
#_3:;MNP3;Quantity: ;250price:;1,77;Next price: ;1,21;
#_4:;MNP3;Quantity: ;500price:;1,40;Next price: ;0,99;
#_5:;MNP3;Quantity: ;1.000price:;1,14;Next price: ;0,82;
#_6:;MNP3;Quantity: ;2.500price:;0,99;Next price: ;0,74;
#_7:;MNP3;Quantity: ;5.000price:;0,90;Next price: ;0,65;
#_8:;MNP3;Quantity: ;10.000price:;0,82;Next price: ;0,58;
#_9:;MNP3;Quantity: ;20.000price:;0,82;Next price: ;0,58;
---------------------END------------------------;
:
------------PRINTCODE :P3--------------
#_0:;MNP3;Quantity: ;1price:;4,10;Next price: ;2,81;
#_1:;MNP3;Quantity: ;50price:;3,45;Next price: ;2,41;
#_2:;MNP3;Quantity: ;100price:;2,41;Next price: ;1,69;
#_3:;MNP3;Quantity: ;250price:;1,77;Next price: ;1,21;
#_4:;MNP3;Quantity: ;500price:;1,40;Next price: ;0,99;
#_5:;MNP3;Quantity: ;1.000price:;1,14;Next price: ;0,82;
#_6:;MNP3;Quantity: ;2.500price:;0,99;Next price: ;0,74;
#_7:;MNP3;Quantity: ;5.000price:;0,90;Next price: ;0,65;
#_8:;MNP3;Quantity: ;10.000price:;0,82;Next price: ;0,58;
#_9:;MNP3;Quantity: ;20.000price:;0,82;Next price: ;0,58;
---------------------END------------------------;
:
------------PRINTCODE :P3--------------
#_0:;MNP3;Quantity: ;1price:;4,10;Next price: ;2,81;
#_1:;MNP3;Quantity: ;50price:;3,45;Next price: ;2,41;
#_2:;MNP3;Quantity: ;100price:;2,41;Next price: ;1,69;
#_3:;MNP3;Quantity: ;250price:;1,77;Next price: ;1,21;
#_4:;MNP3;Quantity: ;500price:;1,40;Next price: ;0,99;
#_5:;MNP3;Quantity: ;1.000price:;1,14;Next price: ;0,82;
#_6:;MNP3;Quantity: ;2.500price:;0,99;Next price: ;0,74;
#_7:;MNP3;Quantity: ;5.000price:;0,90;Next price: ;0,65;
#_8:;MNP3;Quantity: ;10.000price:;0,82;Next price: ;0,58;
#_9:;MNP3;Quantity: ;20.000price:;0,82;Next price: ;0,58;
---------------------END------------------------;
:
------------PRINTCODE :P3--------------
#_0:;MNP3;Quantity: ;1price:;4,10;Next price: ;2,81;
#_1:;MNP3;Quantity: ;50price:;3,45;Next price: ;2,41;
#_2:;MNP3;Quantity: ;100price:;2,41;Next price: ;1,69;
#_3:;MNP3;Quantity: ;250price:;1,77;Next price: ;1,21;
#_4:;MNP3;Quantity: ;500price:;1,40;Next price: ;0,99;
#_5:;MNP3;Quantity: ;1.000price:;1,14;Next price: ;0,82;
#_6:;MNP3;Quantity: ;2.500price:;0,99;Next price: ;0,74;
#_7:;MNP3;Quantity: ;5.000price:;0,90;Next price: ;0,65;
#_8:;MNP3;Quantity: ;10.000price:;0,82;Next price: ;0,58;
#_9:;MNP3;Quantity: ;20.000price:;0,82;Next price: ;0,58;
---------------------END------------------------;
:
------------PRINTCODE :P3--------------
#_0:;MNP3;Quantity: ;1price:;4,10;Next price: ;2,81;
#_1:;MNP3;Quantity: ;50price:;3,45;Next price: ;2,41;
#_2:;MNP3;Quantity: ;100price:;2,41;Next price: ;1,69;
#_3:;MNP3;Quantity: ;250price:;1,77;Next price: ;1,21;
#_4:;MNP3;Quantity: ;500price:;1,40;Next price: ;0,99;
#_5:;MNP3;Quantity: ;1.000price:;1,14;Next price: ;0,82;
#_6:;MNP3;Quantity: ;2.500price:;0,99;Next price: ;0,74;
#_7:;MNP3;Quantity: ;5.000price:;0,90;Next price: ;0,65;
#_8:;MNP3;Quantity: ;10.000price:;0,82;Next price: ;0,58;
#_9:;MNP3;Quantity: ;20.000price:;0,82;Next price: ;0,58;
---------------------END------------------------;
:
------------PRINTCODE :P3--------------
#_0:;MNP3;Quantity: ;1price:;4,10;Next price: ;2,81;
#_1:;MNP3;Quantity: ;50price:;3,45;Next price: ;2,41;
#_2:;MNP3;Quantity: ;100price:;2,41;Next price: ;1,69;
#_3:;MNP3;Quantity: ;250price:;1,77;Next price: ;1,21;
#_4:;MNP3;Quantity: ;500price:;1,40;Next price: ;0,99;
#_5:;MNP3;Quantity: ;1.000price:;1,14;Next price: ;0,82;
#_6:;MNP3;Quantity: ;2.500price:;0,99;Next price: ;0,74;
#_7:;MNP3;Quantity: ;5.000price:;0,90;Next price: ;0,65;
#_8:;MNP3;Quantity: ;10.000price:;0,82;Next price: ;0,58;
#_9:;MNP3;Quantity: ;20.000price:;0,82;Next price: ;0,58;
---------------------END------------------------;
:
------------PRINTCODE :P3--------------
#_0:;MNP3;Quantity: ;1price:;4,10;Next price: ;2,81;
#_1:;MNP3;Quantity: ;50price:;3,45;Next price: ;2,41;
#_2:;MNP3;Quantity: ;100price:;2,41;Next price: ;1,69;
#_3:;MNP3;Quantity: ;250price:;1,77;Next price: ;1,21;
#_4:;MNP3;Quantity: ;500price:;1,40;Next price: ;0,99;
#_5:;MNP3;Quantity: ;1.000price:;1,14;Next price: ;0,82;
#_6:;MNP3;Quantity: ;2.500price:;0,99;Next price: ;0,74;
#_7:;MNP3;Quantity: ;5.000price:;0,90;Next price: ;0,65;
#_8:;MNP3;Quantity: ;10.000price:;0,82;Next price: ;0,58;
#_9:;MNP3;Quantity: ;20.000price:;0,82;Next price: ;0,58;
---------------------END------------------------;
:
------------PRINTCODE :P3--------------
#_0:;MNP3;Quantity: ;1price:;4,10;Next price: ;2,81;
#_1:;MNP3;Quantity: ;50price:;3,45;Next price: ;2,41;
#_2:;MNP3;Quantity: ;100price:;2,41;Next price: ;1,69;
#_3:;MNP3;Quantity: ;250price:;1,77;Next price: ;1,21;
#_4:;MNP3;Quantity: ;500price:;1,40;Next price: ;0,99;
#_5:;MNP3;Quantity: ;1.000price:;1,14;Next price: ;0,82;
#_6:;MNP3;Quantity: ;2.500price:;0,99;Next price: ;0,74;
#_7:;MNP3;Quantity: ;5.000price:;0,90;Next price: ;0,65;
#_8:;MNP3;Quantity: ;10.000price:;0,82;Next price: ;0,58;
#_9:;MNP3;Quantity: ;20.000price:;0,82;Next price: ;0,58;
---------------------END------------------------;
:
------------PRINTCODE :P3--------------
#_0:;MNP3;Quantity: ;1price:;4,10;Next price: ;2,81;
#_1:;MNP3;Quantity: ;50price:;3,45;Next price: ;2,41;
#_2:;MNP3;Quantity: ;100price:;2,41;Next price: ;1,69;
#_3:;MNP3;Quantity: ;250price:;1,77;Next price: ;1,21;
#_4:;MNP3;Quantity: ;500price:;1,40;Next price: ;0,99;
#_5:;MNP3;Quantity: ;1.000price:;1,14;Next price: ;0,82;
#_6:;MNP3;Quantity: ;2.500price:;0,99;Next price: ;0,74;
#_7:;MNP3;Quantity: ;5.000price:;0,90;Next price: ;0,65;
#_8:;MNP3;Quantity: ;10.000price:;0,82;Next price: ;0,58;
#_9:;MNP3;Quantity: ;20.000price:;0,82;Next price: ;0,58;
---------------------END------------------------;
:
------------PRINTCODE :P3--------------
#_0:;MNP3;Quantity: ;1price:;4,10;Next price: ;2,81;
#_1:;MNP3;Quantity: ;50price:;3,45;Next price: ;2,41;
#_2:;MNP3;Quantity: ;100price:;2,41;Next price: ;1,69;
#_3:;MNP3;Quantity: ;250price:;1,77;Next price: ;1,21;
#_4:;MNP3;Quantity: ;500price:;1,40;Next price: ;0,99;
#_5:;MNP3;Quantity: ;1.000price:;1,14;Next price: ;0,82;
#_6:;MNP3;Quantity: ;2.500price:;0,99;Next price: ;0,74;
#_7:;MNP3;Quantity: ;5.000price:;0,90;Next price: ;0,65;
#_8:;MNP3;Quantity: ;10.000price:;0,82;Next price: ;0,58;
#_9:;MNP3;Quantity: ;20.000price:;0,82;Next price: ;0,58;
---------------------END------------------------;
:
------------PRINTCODE :P4--------------
#_0:;MNP4;Quantity: ;1price:;4,66;Next price: ;3,30;
#_1:;MNP4;Quantity: ;50price:;4,02;Next price: ;2,81;
#_2:;MNP4;Quantity: ;100price:;2,73;Next price: ;1,93;
#_3:;MNP4;Quantity: ;250price:;2,09;Next price: ;1,52;
#_4:;MNP4;Quantity: ;500price:;1,64;Next price: ;1,14;
#_5:;MNP4;Quantity: ;1.000price:;1,40;Next price: ;0,99;
#_6:;MNP4;Quantity: ;2.500price:;1,14;Next price: ;0,82;
#_7:;MNP4;Quantity: ;5.000price:;1,06;Next price: ;0,74;
#_8:;MNP4;Quantity: ;10.000price:;0,90;Next price: ;0,65;
#_9:;MNP4;Quantity: ;20.000price:;0,90;Next price: ;0,65;
---------------------END------------------------;
:
------------PRINTCODE :P4--------------
#_0:;MNP4;Quantity: ;1price:;4,66;Next price: ;3,30;
#_1:;MNP4;Quantity: ;50price:;4,02;Next price: ;2,81;
#_2:;MNP4;Quantity: ;100price:;2,73;Next price: ;1,93;
#_3:;MNP4;Quantity: ;250price:;2,09;Next price: ;1,52;
#_4:;MNP4;Quantity: ;500price:;1,64;Next price: ;1,14;
#_5:;MNP4;Quantity: ;1.000price:;1,40;Next price: ;0,99;
#_6:;MNP4;Quantity: ;2.500price:;1,14;Next price: ;0,82;
#_7:;MNP4;Quantity: ;5.000price:;1,06;Next price: ;0,74;
#_8:;MNP4;Quantity: ;10.000price:;0,90;Next price: ;0,65;
#_9:;MNP4;Quantity: ;20.000price:;0,90;Next price: ;0,65;
---------------------END------------------------;
:
------------PRINTCODE :P4--------------
#_0:;MNP4;Quantity: ;1price:;4,66;Next price: ;3,30;
#_1:;MNP4;Quantity: ;50price:;4,02;Next price: ;2,81;
#_2:;MNP4;Quantity: ;100price:;2,73;Next price: ;1,93;
#_3:;MNP4;Quantity: ;250price:;2,09;Next price: ;1,52;
#_4:;MNP4;Quantity: ;500price:;1,64;Next price: ;1,14;
#_5:;MNP4;Quantity: ;1.000price:;1,40;Next price: ;0,99;
#_6:;MNP4;Quantity: ;2.500price:;1,14;Next price: ;0,82;
#_7:;MNP4;Quantity: ;5.000price:;1,06;Next price: ;0,74;
#_8:;MNP4;Quantity: ;10.000price:;0,90;Next price: ;0,65;
#_9:;MNP4;Quantity: ;20.000price:;0,90;Next price: ;0,65;
---------------------END------------------------;
:
------------PRINTCODE :P4--------------
#_0:;MNP4;Quantity: ;1price:;4,66;Next price: ;3,30;
#_1:;MNP4;Quantity: ;50price:;4,02;Next price: ;2,81;
#_2:;MNP4;Quantity: ;100price:;2,73;Next price: ;1,93;
#_3:;MNP4;Quantity: ;250price:;2,09;Next price: ;1,52;
#_4:;MNP4;Quantity: ;500price:;1,64;Next price: ;1,14;
#_5:;MNP4;Quantity: ;1.000price:;1,40;Next price: ;0,99;
#_6:;MNP4;Quantity: ;2.500price:;1,14;Next price: ;0,82;
#_7:;MNP4;Quantity: ;5.000price:;1,06;Next price: ;0,74;
#_8:;MNP4;Quantity: ;10.000price:;0,90;Next price: ;0,65;
#_9:;MNP4;Quantity: ;20.000price:;0,90;Next price: ;0,65;
---------------------END------------------------;
:
------------PRINTCODE :P4--------------
#_0:;MNP4;Quantity: ;1price:;4,66;Next price: ;3,30;
#_1:;MNP4;Quantity: ;50price:;4,02;Next price: ;2,81;
#_2:;MNP4;Quantity: ;100price:;2,73;Next price: ;1,93;
#_3:;MNP4;Quantity: ;250price:;2,09;Next price: ;1,52;
#_4:;MNP4;Quantity: ;500price:;1,64;Next price: ;1,14;
#_5:;MNP4;Quantity: ;1.000price:;1,40;Next price: ;0,99;
#_6:;MNP4;Quantity: ;2.500price:;1,14;Next price: ;0,82;
#_7:;MNP4;Quantity: ;5.000price:;1,06;Next price: ;0,74;
#_8:;MNP4;Quantity: ;10.000price:;0,90;Next price: ;0,65;
#_9:;MNP4;Quantity: ;20.000price:;0,90;Next price: ;0,65;
---------------------END------------------------;
:
------------PRINTCODE :P4--------------
#_0:;MNP4;Quantity: ;1price:;4,66;Next price: ;3,30;
#_1:;MNP4;Quantity: ;50price:;4,02;Next price: ;2,81;
#_2:;MNP4;Quantity: ;100price:;2,73;Next price: ;1,93;
#_3:;MNP4;Quantity: ;250price:;2,09;Next price: ;1,52;
#_4:;MNP4;Quantity: ;500price:;1,64;Next price: ;1,14;
#_5:;MNP4;Quantity: ;1.000price:;1,40;Next price: ;0,99;
#_6:;MNP4;Quantity: ;2.500price:;1,14;Next price: ;0,82;
#_7:;MNP4;Quantity: ;5.000price:;1,06;Next price: ;0,74;
#_8:;MNP4;Quantity: ;10.000price:;0,90;Next price: ;0,65;
#_9:;MNP4;Quantity: ;20.000price:;0,90;Next price: ;0,65;
---------------------END------------------------;
:
------------PRINTCODE :P4--------------
#_0:;MNP4;Quantity: ;1price:;4,66;Next price: ;3,30;
#_1:;MNP4;Quantity: ;50price:;4,02;Next price: ;2,81;
#_2:;MNP4;Quantity: ;100price:;2,73;Next price: ;1,93;
#_3:;MNP4;Quantity: ;250price:;2,09;Next price: ;1,52;
#_4:;MNP4;Quantity: ;500price:;1,64;Next price: ;1,14;
#_5:;MNP4;Quantity: ;1.000price:;1,40;Next price: ;0,99;
#_6:;MNP4;Quantity: ;2.500price:;1,14;Next price: ;0,82;
#_7:;MNP4;Quantity: ;5.000price:;1,06;Next price: ;0,74;
#_8:;MNP4;Quantity: ;10.000price:;0,90;Next price: ;0,65;
#_9:;MNP4;Quantity: ;20.000price:;0,90;Next price: ;0,65;
---------------------END------------------------;
:
------------PRINTCODE :P4--------------
#_0:;MNP4;Quantity: ;1price:;4,66;Next price: ;3,30;
#_1:;MNP4;Quantity: ;50price:;4,02;Next price: ;2,81;
#_2:;MNP4;Quantity: ;100price:;2,73;Next price: ;1,93;
#_3:;MNP4;Quantity: ;250price:;2,09;Next price: ;1,52;
#_4:;MNP4;Quantity: ;500price:;1,64;Next price: ;1,14;
#_5:;MNP4;Quantity: ;1.000price:;1,40;Next price: ;0,99;
#_6:;MNP4;Quantity: ;2.500price:;1,14;Next price: ;0,82;
#_7:;MNP4;Quantity: ;5.000price:;1,06;Next price: ;0,74;
#_8:;MNP4;Quantity: ;10.000price:;0,90;Next price: ;0,65;
