ParentSKU;	SKU;	ColorName;	InternetName;	InternetTxt;	Q1;	Q2;	Q3;	Q4;	Q5;	Q6;	P1;	P2;	P3;	P4;	P5;	P6;	GrossNett;	ImprintType_IL1_T1;	ImprintDescription_IL1_T1;	ImprintImage_IL1_T1;	PriceClass_IL1_T1;	PriceClass_IL1_CN;	SetupFee_IL1_T1;	SetupFee_IL1_T1_NextColor;	SetupFeeStructure_IL1_T1;	ExcludeFreeSetupCosts_IL1_T1;	ImprintSize_IL1_T1;	MaxColors_IL1_T1;	Handling_IL1_T1;	ImprintType_IL1_T2;	ImprintDescription_IL1_T2;	ImprintImage_IL1_T2;	PriceClass_IL1_T2;	PriceClass_IL1_CN2;	SetupFee_IL1_T2;	SetupFee_IL1_T2_NextColor;	SetupFeeStructure_IL1_T2;	ExcludeFreeSetupCosts_IL1_T2;	ImprintSize_IL1_T2;	MaxColors_IL1_T2;	Handling_IL1_T2	ImprintType_IL1_T3;	ImprintDescription_IL1_T3;	ImprintImage_IL1_T3	PriceClass_IL1_T3;	PriceClass_IL1_CN3;	SetupFee_IL1_T3;	SetupFee_IL1_T3_NextColor;	SetupFeeStructure_IL1_T3;	ExcludeFreeSetupCosts_IL1_T3;	ImprintSize_IL1_T3;	MaxColors_IL1_T3;	Handling_IL1_T3;	ImprintType_IL1_T4;	ImprintDescription_IL1_T4;	ImprintImage_IL1_T4;	PriceClass_IL1_T4;	PriceClass_IL1_CN4;	SetupFee_IL1_T4;	SetupFee_IL1_T4_NextColor;	SetupFeeStructure_IL1_T4;	ExcludeFreeSetupCosts_IL1_T4;	ImprintSize_IL1_T4;	MaxColors_IL1_T4;	Handling_IL1_T4	ImprintType_IL1_T5;	ImprintDescription_IL1_T5;	ImprintImage_IL1_T5	PriceClass_IL1_T5;	PriceClass_IL1_CN5;	SetupFee_IL1_T5;	SetupFee_IL1_T5_NextColor;	SetupFeeStructure_IL1_T5;	ExcludeFreeSetupCosts_IL1_T5;	ImprintSize_IL1_T5;	MaxColors_IL1_T5;	Handling_IL1_T5	ImprintType_IL1_T6;	ImprintDescription_IL1_T6;	ImprintImage_IL1_T6;	PriceClass_IL1_T6;	PriceClass_IL1_CN6;	SetupFee_IL1_T6;	SetupFee_IL1_T6_NextColor;	SetupFeeStructure_IL1_T6;	ExcludeFreeSetupCosts_IL1_T6;	ImprintSize_IL1_T6;	MaxColors_IL1_T6;	Handling_IL1_T6;	IntraCode;	CountryOfOrigin;	OuterCartonPieces;	OuterCartonLength;	OuterCartonWidth;	OuterCartonHeight;	CommercialItemLength;	CommercialItemWidth;	CommercialItemHeight;	CommercialItemWeight;	Flavours;	Sizes;	WritingColor;	CapacityTxt;	OrderUnit;	MainGroup;	Material;	BatteryType;	NumberOfBatteries;	ProductImageURL;	DeliveryTimeMT_IL1_T1;	07_12_SearchTerms;	Q_OnPallet;	Brandnames;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ARCONOT A5 notesbog;AR1804-05;red;A5 notesbog;Muistikirjat & Muistivihkot;125;250;500;;2500;5000;14,84;13,50;12,60;11,74;11,19;10,67;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Muistikirjat & Muistivihkot;;;;;;;;
ARCONOT A5 notesbog;AR1804-06;white;A5 notesbog;Muistikirjat & Muistivihkot;125;250;500;;2500;5000;14,84;13,50;12,60;11,74;11,19;10,67;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Muistikirjat & Muistivihkot;;;;;;;;
ARCONOT A5 notesbog;AR1804-10;orange;A5 notesbog;Muistikirjat & Muistivihkot;125;250;500;;2500;5000;14,84;13,50;12,60;11,74;11,19;10,67;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Muistikirjat & Muistivihkot;;;;;;;;
ARCONOT A5 notesbog;AR1804-12;turquoise;A5 notesbog;Muistikirjat & Muistivihkot;125;250;500;;2500;5000;14,84;13,50;12,60;11,74;11,19;10,67;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Muistikirjat & Muistivihkot;;;;;;;;
ARCONOT A5 notesbog;AR1804-37;royal blue;A5 notesbog;Muistikirjat & Muistivihkot;125;250;500;;2500;5000;14,84;13,50;12,60;11,74;11,19;10,67;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Muistikirjat & Muistivihkot;;;;;;;;
ARCONOT A5 notesbog;AR1804-48;lime;A5 notesbog;Muistikirjat & Muistivihkot;125;250;500;;2500;5000;14,84;13,50;12,60;11,74;11,19;10,67;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Muistikirjat & Muistivihkot;;;;;;;;
KUBZLE Puslespil i metal 3D;AR1810-16;matt silver;Puslespil i metal 3D;Kontor & Arbejde;25;50;100;;2500;5000;89,73;81,58;76,18;70,96;67,64;64,40;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Kontor & Arbejde;;;;;;;;
NOBO ;CX1013-05;red;;;500;1000;2500;;250;500;2,69;2,53;2,45;2,56;2,39;2,22;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BONO ;CX1015-05;red;;;500;1000;2500;;250;500;2,58;2,43;2,35;2,45;2,28;2,13;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
WOODTREE ;CX1278-09;green;;;50;125;250;;100;250;22,99;21,68;21,02;21,91;20,45;19,05;;STICKER ON BOX;Digitalt klistermærke;;DL;;38,02;;;;70x100 cm;;;STICKER ON BOX;Serigrafi;;S3;;38,02;;;;70x100 cm;;;BASE;Tamponprint;;P4;;38,02;;;;5x35 cm;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
