---------------------------------------------
Printcode:;RS3;price:;4,90;Next price: ;3,95;
Printcode:;RS3;price:;4,38;Next price: ;3,52;
Printcode:;RS3;price:;3,34;Next price: ;2,59;
Printcode:;RS3;price:;2,92;Next price: ;2,33;
Printcode:;RS3;price:;1,81;Next price: ;1,40;
Printcode:;RS3;price:;1,40;Next price: ;1,06;
Printcode:;RS3;price:;1,23;Next price: ;0,99;
Printcode:;RS3;price:;1,23;Next price: ;0,99;
Printcode:;RS3;price:;1,23;Next price: ;0,99;
Printcode:;RS3;price:;1,23;Next price: ;0,99;
---------------------------------------------
---------------------------------------------
Printcode:;RS3;price:;4,90;Next price: ;3,95;
Printcode:;RS3;price:;4,38;Next price: ;3,52;
Printcode:;RS3;price:;3,34;Next price: ;2,59;
Printcode:;RS3;price:;2,92;Next price: ;2,33;
Printcode:;RS3;price:;1,81;Next price: ;1,40;
Printcode:;RS3;price:;1,40;Next price: ;1,06;
Printcode:;RS3;price:;1,23;Next price: ;0,99;
Printcode:;RS3;price:;1,23;Next price: ;0,99;
Printcode:;RS3;price:;1,23;Next price: ;0,99;
Printcode:;RS3;price:;1,23;Next price: ;0,99;
---------------------------------------------
---------------------------------------------
Printcode:;RS4;price:;5,58;Next price: ;4,54;
Printcode:;RS4;price:;4,97;Next price: ;4,11;
Printcode:;RS4;price:;3,76;Next price: ;3,09;
Printcode:;RS4;price:;3,34;Next price: ;2,59;
Printcode:;RS4;price:;2,13;Next price: ;1,55;
Printcode:;RS4;price:;1,55;Next price: ;1,23;
Printcode:;RS4;price:;1,40;Next price: ;1,14;
Printcode:;RS4;price:;1,40;Next price: ;1,14;
Printcode:;RS4;price:;1,40;Next price: ;1,14;
Printcode:;RS4;price:;1,40;Next price: ;1,14;
---------------------------------------------
---------------------------------------------
Printcode:;RS4;price:;5,58;Next price: ;4,54;
Printcode:;RS4;price:;4,97;Next price: ;4,11;
Printcode:;RS4;price:;3,76;Next price: ;3,09;
Printcode:;RS4;price:;3,34;Next price: ;2,59;
Printcode:;RS4;price:;2,13;Next price: ;1,55;
Printcode:;RS4;price:;1,55;Next price: ;1,23;
Printcode:;RS4;price:;1,40;Next price: ;1,14;
Printcode:;RS4;price:;1,40;Next price: ;1,14;
Printcode:;RS4;price:;1,40;Next price: ;1,14;
Printcode:;RS4;price:;1,40;Next price: ;1,14;
---------------------------------------------
---------------------------------------------
Printcode:;RS4;price:;5,58;Next price: ;4,54;
Printcode:;RS4;price:;4,97;Next price: ;4,11;
Printcode:;RS4;price:;3,76;Next price: ;3,09;
Printcode:;RS4;price:;3,34;Next price: ;2,59;
Printcode:;RS4;price:;2,13;Next price: ;1,55;
Printcode:;RS4;price:;1,55;Next price: ;1,23;
Printcode:;RS4;price:;1,40;Next price: ;1,14;
Printcode:;RS4;price:;1,40;Next price: ;1,14;
Printcode:;RS4;price:;1,40;Next price: ;1,14;
Printcode:;RS4;price:;1,40;Next price: ;1,14;
---------------------------------------------
---------------------------------------------
Printcode:;RS4;price:;5,58;Next price: ;4,54;
Printcode:;RS4;price:;4,97;Next price: ;4,11;
Printcode:;RS4;price:;3,76;Next price: ;3,09;
Printcode:;RS4;price:;3,34;Next price: ;2,59;
Printcode:;RS4;price:;2,13;Next price: ;1,55;
Printcode:;RS4;price:;1,55;Next price: ;1,23;
Printcode:;RS4;price:;1,40;Next price: ;1,14;
Printcode:;RS4;price:;1,40;Next price: ;1,14;
Printcode:;RS4;price:;1,40;Next price: ;1,14;
Printcode:;RS4;price:;1,40;Next price: ;1,14;
---------------------------------------------
---------------------------------------------
Printcode:;RS4;price:;5,58;Next price: ;4,54;
Printcode:;RS4;price:;4,97;Next price: ;4,11;
Printcode:;RS4;price:;3,76;Next price: ;3,09;
Printcode:;RS4;price:;3,34;Next price: ;2,59;
Printcode:;RS4;price:;2,13;Next price: ;1,55;
Printcode:;RS4;price:;1,55;Next price: ;1,23;
Printcode:;RS4;price:;1,40;Next price: ;1,14;
Printcode:;RS4;price:;1,40;Next price: ;1,14;
Printcode:;RS4;price:;1,40;Next price: ;1,14;
Printcode:;RS4;price:;1,40;Next price: ;1,14;
---------------------------------------------
---------------------------------------------
Printcode:;RS4;price:;5,58;Next price: ;4,54;
Printcode:;RS4;price:;4,97;Next price: ;4,11;
