------------PRINTCODE :B--------------
#_0:;MNB;Quantity: ;1;price:;11,92;Next price: ;;
#_1:;MNB;Quantity: ;50;price:;10,38;Next price: ;;
#_2:;MNB;Quantity: ;100;price:;5,34;Next price: ;;
#_3:;MNB;Quantity: ;250;price:;4,68;Next price: ;;
#_4:;MNB;Quantity: ;500;price:;4,34;Next price: ;;
#_5:;MNB;Quantity: ;1.000;price:;4,18;Next price: ;;
#_6:;MNB;Quantity: ;2.500;price:;3,60;Next price: ;;
#_7:;MNB;Quantity: ;5.000;price:;3,36;Next price: ;;
#_8:;MNB;Quantity: ;10.000;price:;3,36;Next price: ;;
#_9:;MNB;Quantity: ;20.000;price:;3,36;Next price: ;;
---------------------END------------------------;
:
------------PRINTCODE :BP--------------
#_0:;MNBP;Quantity: ;1;price:;1,29;Next price: ;;
#_1:;MNBP;Quantity: ;50;price:;1,29;Next price: ;;
#_2:;MNBP;Quantity: ;100;price:;1,17;Next price: ;;
#_3:;MNBP;Quantity: ;250;price:;1,17;Next price: ;;
#_4:;MNBP;Quantity: ;500;price:;0,99;Next price: ;;
#_5:;MNBP;Quantity: ;1.000;price:;0,99;Next price: ;;
#_6:;MNBP;Quantity: ;2.500;price:;0,99;Next price: ;;
#_7:;MNBP;Quantity: ;5.000;price:;0,99;Next price: ;;
#_8:;MNBP;Quantity: ;10.000;price:;0,99;Next price: ;;
#_9:;MNBP;Quantity: ;20.000;price:;0,90;Next price: ;;
---------------------END------------------------;
:
------------PRINTCODE :DI--------------
#_0:;MNDI;Quantity: ;1;price:;5,32;Next price: ;;
#_1:;MNDI;Quantity: ;50;price:;4,47;Next price: ;;
#_2:;MNDI;Quantity: ;100;price:;3,34;Next price: ;;
#_3:;MNDI;Quantity: ;250;price:;3,17;Next price: ;;
#_4:;MNDI;Quantity: ;500;price:;2,95;Next price: ;;
#_5:;MNDI;Quantity: ;1.000;price:;2,54;Next price: ;;
#_6:;MNDI;Quantity: ;2.500;price:;1,81;Next price: ;;
#_7:;MNDI;Quantity: ;5.000;price:;1,55;Next price: ;;
#_8:;MNDI;Quantity: ;10.000;price:;1,31;Next price: ;;
#_9:;MNDI;Quantity: ;20.000;price:;1,31;Next price: ;;
---------------------END------------------------;
:
------------PRINTCODE :DL--------------
#_0:;MNDL;Quantity: ;1;price:;5,58;Next price: ;;
#_1:;MNDL;Quantity: ;50;price:;3,69;Next price: ;;
#_2:;MNDL;Quantity: ;100;price:;3,58;Next price: ;;
#_3:;MNDL;Quantity: ;250;price:;3,58;Next price: ;;
#_4:;MNDL;Quantity: ;500;price:;1,81;Next price: ;;
#_5:;MNDL;Quantity: ;1.000;price:;1,81;Next price: ;;
#_6:;MNDL;Quantity: ;2.500;price:;1,81;Next price: ;;
#_7:;MNDL;Quantity: ;5.000;price:;1,81;Next price: ;;
#_8:;MNDL;Quantity: ;10.000;price:;1,81;Next price: ;;
#_9:;MNDL;Quantity: ;20.000;price:;1,81;Next price: ;;
---------------------END------------------------;
:
------------PRINTCODE :DL--------------
#_0:;MNDL;Quantity: ;1;price:;9,26;Next price: ;;
#_1:;MNDL;Quantity: ;50;price:;6,18;Next price: ;;
#_2:;MNDL;Quantity: ;100;price:;6,01;Next price: ;;
#_3:;MNDL;Quantity: ;250;price:;6,01;Next price: ;;
#_4:;MNDL;Quantity: ;500;price:;2,95;Next price: ;;
#_5:;MNDL;Quantity: ;1.000;price:;2,95;Next price: ;;
#_6:;MNDL;Quantity: ;2.500;price:;2,95;Next price: ;;
#_7:;MNDL;Quantity: ;5.000;price:;2,95;Next price: ;;
#_8:;MNDL;Quantity: ;10.000;price:;2,95;Next price: ;;
#_9:;MNDL;Quantity: ;20.000;price:;2,95;Next price: ;;
---------------------END------------------------;
:
------------PRINTCODE :DL--------------
#_0:;MNDL;Quantity: ;1;price:;15,44;Next price: ;;
#_1:;MNDL;Quantity: ;50;price:;10,30;Next price: ;;
